,Lat,Lon,coords,Day,Weekday,Hour,Minute,hot_z
18,40.7531,-74.0039,"40.7531, -74.0039",1,Tuesday,3,35,Yes
24,40.695,-74.1783,"40.695, -74.1783",1,Tuesday,4,20,Yes
26,40.6879,-74.1814,"40.6879, -74.1814",1,Tuesday,4,27,Yes
27,40.6878,-74.1816,"40.6878, -74.1816",1,Tuesday,4,38,Yes
39,40.7217,-73.9875,"40.7217, -73.9875",1,Tuesday,5,36,Yes
56,40.7236,-74.0111,"40.7236, -74.0111",1,Tuesday,6,2,Yes
70,40.7531,-74.0039,"40.7531, -74.0039",1,Tuesday,6,21,Yes
94,40.7255,-74.0092,"40.7255, -74.0092",1,Tuesday,6,52,Yes
105,40.771,-73.866,"40.771, -73.866",1,Tuesday,7,2,Yes
163,40.7343,-73.9936,"40.7343, -73.9936",1,Tuesday,8,2,Yes
198,40.7261,-73.9918,"40.7261, -73.9918",1,Tuesday,8,43,Yes
207,40.7388,-74.0087,"40.7388, -74.0087",1,Tuesday,8,54,Yes
211,40.7739,-73.8717,"40.7739, -73.8717",1,Tuesday,8,58,Yes
222,40.7752,-73.9635,"40.7752, -73.9635",1,Tuesday,9,16,Yes
223,40.7788,-73.956,"40.7788, -73.956",1,Tuesday,9,23,Yes
235,40.7752,-73.9636,"40.7752, -73.9636",1,Tuesday,9,46,Yes
236,40.7283,-74.0071,"40.7283, -74.0071",1,Tuesday,9,48,Yes
239,40.7747,-73.9911,"40.7747, -73.9911",1,Tuesday,9,52,Yes
246,40.745,-73.9888,"40.745, -73.9888",1,Tuesday,9,58,Yes
249,40.7741,-73.8726,"40.7741, -73.8726",1,Tuesday,10,4,Yes
250,40.7367,-73.9907,"40.7367, -73.9907",1,Tuesday,10,5,Yes
257,40.7745,-73.9638,"40.7745, -73.9638",1,Tuesday,10,18,Yes
262,40.6948,-74.1779,"40.6948, -74.1779",1,Tuesday,10,27,Yes
264,40.6949,-74.1781,"40.6949, -74.1781",1,Tuesday,10,32,Yes
265,40.6949,-74.1781,"40.6949, -74.1781",1,Tuesday,10,32,Yes
272,40.7748,-73.991,"40.7748, -73.991",1,Tuesday,10,34,Yes
280,40.7233,-74.0062,"40.7233, -74.0062",1,Tuesday,10,46,Yes
302,40.7103,-73.9846,"40.7103, -73.9846",1,Tuesday,11,11,Yes
324,40.7419,-74.0036,"40.7419, -74.0036",1,Tuesday,11,35,Yes
330,40.7741,-73.8726,"40.7741, -73.8726",1,Tuesday,11,42,Yes
338,40.7685,-73.8625,"40.7685, -73.8625",1,Tuesday,11,48,Yes
346,40.6878,-74.1817,"40.6878, -74.1817",1,Tuesday,12,4,Yes
361,40.7732,-73.8857,"40.7732, -73.8857",1,Tuesday,12,24,Yes
363,40.695,-74.178,"40.695, -74.178",1,Tuesday,12,26,Yes
371,40.7447,-73.9873,"40.7447, -73.9873",1,Tuesday,12,32,Yes
386,40.771,-73.866,"40.771, -73.866",1,Tuesday,12,54,Yes
393,40.7684,-73.8624,"40.7684, -73.8624",1,Tuesday,13,1,Yes
409,40.7529,-73.9855,"40.7529, -73.9855",1,Tuesday,13,18,Yes
421,40.7692,-73.9829,"40.7692, -73.9829",1,Tuesday,13,34,Yes
432,40.7741,-73.8727,"40.7741, -73.8727",1,Tuesday,13,45,Yes
433,40.7385,-73.9854,"40.7385, -73.9854",1,Tuesday,13,47,Yes
434,40.7685,-73.8624,"40.7685, -73.8624",1,Tuesday,13,49,Yes
444,40.774,-73.8728,"40.774, -73.8728",1,Tuesday,13,57,Yes
449,40.7739,-73.8724,"40.7739, -73.8724",1,Tuesday,14,3,Yes
452,40.7732,-73.8856,"40.7732, -73.8856",1,Tuesday,14,5,Yes
465,40.7691,-73.9812,"40.7691, -73.9812",1,Tuesday,14,21,Yes
475,40.645,-73.7819,"40.645, -73.7819",1,Tuesday,14,29,Yes
481,40.6448,-73.7826,"40.6448, -73.7826",1,Tuesday,14,39,Yes
484,40.7104,-73.9847,"40.7104, -73.9847",1,Tuesday,14,41,Yes
486,40.7103,-73.9846,"40.7103, -73.9846",1,Tuesday,14,43,Yes
489,40.7647,-73.9706,"40.7647, -73.9706",1,Tuesday,14,45,Yes
491,40.6951,-74.1787,"40.6951, -74.1787",1,Tuesday,14,53,Yes
498,40.7284,-74.0071,"40.7284, -74.0071",1,Tuesday,15,2,Yes
504,40.7741,-73.8727,"40.7741, -73.8727",1,Tuesday,15,8,Yes
